@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 76\nSize of the tree: 86\n','Number of leaves: 63\nSize of the tree: 72\n','Number of leaves: 72\nSize of the tree: 81\n','Number of leaves: 84\nSize of the tree: 95\n','Number of leaves: 84\nSize of the tree: 94\n','Number of leaves: 64\nSize of the tree: 74\n','Number of leaves: 68\nSize of the tree: 76\n','Number of leaves: 75\nSize of the tree: 85\n','Number of leaves: 70\nSize of the tree: 80\n','Number of leaves: 77\nSize of the tree: 87\n','Number of leaves: 71\nSize of the tree: 80\n','Number of leaves: 83\nSize of the tree: 94\n','Number of leaves: 96\nSize of the tree: 106\n','Number of leaves: 85\nSize of the tree: 96\n','Number of leaves: 73\nSize of the tree: 83\n','Number of leaves: 79\nSize of the tree: 88\n','Number of leaves: 83\nSize of the tree: 93\n','Number of leaves: 100\nSize of the tree: 111\n','Number of leaves: 91\nSize of the tree: 100\n','Number of leaves: 91\nSize of the tree: 99\n','Number of leaves: 80\nSize of the tree: 89\n','Number of leaves: 87\nSize of the tree: 95\n','Number of leaves: 99\nSize of the tree: 109\n','Number of leaves: 96\nSize of the tree: 105\n','Number of leaves: 83\nSize of the tree: 90\n','Number of leaves: 90\nSize of the tree: 99\n','Number of leaves: 82\nSize of the tree: 91\n','Number of leaves: 85\nSize of the tree: 95\n','Number of leaves: 86\nSize of the tree: 94\n','Number of leaves: 92\nSize of the tree: 101\n','Number of leaves: 98\nSize of the tree: 108\n','Number of leaves: 108\nSize of the tree: 117\n','Number of leaves: 100\nSize of the tree: 110\n','Number of leaves: 95\nSize of the tree: 104\n','Number of leaves: 92\nSize of the tree: 103\n','Number of leaves: 112\nSize of the tree: 122\n','Number of leaves: 91\nSize of the tree: 102\n','Number of rules: 21\n','Number of rules: 20\n','Number of rules: 18\n','Number of rules: 22\n','Number of rules: 19\n','Number of rules: 25\n','Number of rules: 23\n','Number of rules: 24\n','Number of rules: 17\n','Number of rules: 26\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,492,54,53,1,0,98.148148,1.851852,0,0.961235,0.00642,0.059904,3.341868,19.394622,75.997529,1.906891,74.090639,1.407362,0.035313,1.372049,74.090639,1.372049,97.490852,1,38,0,0,1,16,0,0,1,1,1,1,1,1,0.981481,0.001481,0.998519,0.018519,0.985185,0.981481,0.981798,0.980641,1,1,0.962393,0.981481,0,0,0,0,0,0,28568,77390,12128,100,20.740741,'Number of leaves: 84\nSize of the tree: 95\n',95,84,84
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,51,4,0,92.727273,7.272727,0,0.845938,0.026915,0.140504,14.054005,45.649733,78.437163,10.884171,67.552993,1.42613,0.197894,1.228236,68.233945,1.240617,86.991857,1,39,0,0,1,16,0,0,1,1,1,1,1,1,0.927273,0.007305,0.992695,0.072727,0.930043,0.927273,0.923454,0.919798,0.996711,0.974199,0.779243,0.927273,0,0,0,0,0,0,28326,77241,12277,100,22.545455,'Number of leaves: 84\nSize of the tree: 94\n',94,84,84
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,52,3,0,94.545455,5.454545,0,0.889632,0.022525,0.139634,11.535798,44.38886,80.981035,2151.33985,-2070.358815,1.472382,39.11527,-37.642888,67.457967,1.226508,83.300945,1,38,0,0,1,17,0,0,1,1,1,1,1,1,0.945455,0.004278,0.995722,0.054545,?,0.945455,?,?,0.980559,0.943292,?,0.945455,0,0,0,0,0,0,23486,77241,12277,96.363636,21.454545,'Number of leaves: 64\nSize of the tree: 74\n',74,64,64
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,55,0,0,100,0,0,1,0.004606,0.03423,2.35889,10.881608,80.981035,1.058894,79.922141,1.472382,0.019253,1.45313,79.922141,1.45313,98.692418,1,38,0,0,1,17,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,26390,77241,12277,100,21.090909,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,55,0,0,100,0,0,1,0.001455,0.017056,0.744913,5.42201,80.981035,0.321928,80.659107,1.472382,0.005853,1.466529,80.659107,1.466529,99.602465,1,38,0,0,1,17,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,26390,77241,12277,100,20.363636,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,53,2,0,96.363636,3.636364,0,0.926764,0.014545,0.120605,7.449125,38.339402,80.981035,2148,-2067.018965,1.472382,39.054545,-37.582163,74.472515,1.354046,91.962908,1,38,0,0,1,17,0,0,1,1,1,1,1,1,0.963636,0.002852,0.997148,0.036364,0.975758,0.963636,0.964242,0.963597,0.980392,0.944022,0.926667,0.963636,0,0,0,0,0,0,26390,77241,12277,96.363636,20,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,491,55,55,0,0,100,0,0,1,0.001616,0.013401,0.827681,4.259934,80.981035,0.33985,80.641185,1.472382,0.006179,1.466203,80.641185,1.466203,99.580334,1,38,0,0,1,17,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.005,0,0,0,0,0,26390,77241,12277,100,20.727273,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,492,54,51,3,0,94.444444,5.555556,0,0.878561,0.017412,0.117831,9.247785,39.035169,73.453657,7.074141,66.379516,1.360253,0.131003,1.22925,66.379516,1.22925,90.369245,1,39,0,0,1,15,0,0,1,1,1,1,1,1,0.944444,0.00218,0.99782,0.055556,0.962963,0.944444,0.948894,0.947826,0.999259,0.992593,0.796104,0.944444,0,0,0,0,0,0,23970,77390,12128,100,21.111111,'Number of leaves: 68\nSize of the tree: 76\n',76,68,68
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,492,54,53,1,0,98.148148,1.851852,0,0.959215,0.008148,0.068584,4.327555,22.720506,73.453657,2.567041,70.886617,1.360253,0.047538,1.312715,70.886617,1.312715,96.505224,1,39,0,0,1,15,0,0,1,1,1,1,1,1,0.981481,0.002315,0.997685,0.018519,0.984127,0.981481,0.980871,0.980125,0.999622,0.993651,0.956044,0.981481,0,0,0,0,0,0,26390,77390,12128,100,21.111111,'Number of leaves: 76\nSize of the tree: 86\n',86,76,76
Example1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210226.2151,492,54,53,1,0,98.148148,1.851852,0,0.959215,0.00463,0.053791,2.458838,17.820141,73.453657,1.415037,72.03862,1.360253,0.026204,1.334049,72.03862,1.334049,98.073564,1,39,0,0,1,15,0,0,1,1,1,1,1,1,0.981481,0.002315,0.997685,0.018519,0.984127,0.981481,0.980871,0.980125,1,1,0.956044,0.981481,0,0,0,0,0,0,26148,77390,12128,100,20.37037,'Number of leaves: 75\nSize of the tree: 85\n',85,75,75
