@relation Example1 
@attribute PosX numeric 
@attribute PosY numeric 
@attribute isNorthLegal {True, False} 
@attribute isEastLegal {True, False} 
@attribute isSouthLegal {True, False} 
@attribute isWestLegal {True, False} 
@attribute Direction {Stop, North, South, East, West} 
@attribute Ghost1X numeric 
@attribute Ghost1Y numeric 
@attribute Ghost1Distance numeric 
@attribute Ghost2X numeric 
@attribute Ghost2Y numeric 
@attribute Ghost2Distance numeric 
@attribute Ghost3X numeric 
@attribute Ghost3Y numeric 
@attribute Ghost3Distance numeric 
@attribute Ghost4X numeric 
@attribute Ghost4Y numeric 
@attribute Ghost4Distance numeric  
@attribute NumberOfDots numeric 
@attribute NearestDotDistance numeric 
@attribute CurrentScore numeric 
@attribute FutureScore numeric 
@attribute FutureDirection {Stop, North, South, East, West} 
@data 
13,18,False,True,False,True,East,5,9,17,11,3,17,17,6,16,25,13,17,0,?,-14,-15,East
14,18,False,True,True,True,East,5,9,18,11,3,18,17,6,15,25,13,16,0,?,-15,-16,East
15,18,False,True,True,True,East,5,9,19,11,3,19,17,6,14,25,13,15,0,?,-16,-17,East
16,18,False,True,True,True,East,5,9,20,11,3,20,17,6,13,25,13,14,0,?,-17,-18,East
17,18,False,True,True,True,East,5,9,21,11,3,21,17,6,12,25,13,13,0,?,-18,-19,East
18,18,False,True,True,True,East,5,9,22,11,3,22,17,6,13,25,13,12,0,?,-19,-20,East
19,18,False,True,True,True,East,5,9,23,11,3,23,17,6,14,25,13,11,0,?,-20,-21,East
20,18,False,True,True,True,East,5,9,24,11,3,24,17,6,15,25,13,10,0,?,-21,-22,South
20,17,True,True,True,True,South,5,9,23,11,3,23,17,6,14,25,13,9,0,?,-22,-23,East
21,17,True,False,True,True,East,5,9,24,11,3,24,17,6,15,25,13,8,0,?,-23,-24,South
21,16,True,True,True,True,South,5,9,23,11,3,23,17,6,14,25,13,7,0,?,-24,-25,South
21,15,True,True,False,True,South,5,9,22,11,3,22,17,6,13,25,13,6,0,?,-25,-26,East
22,15,True,True,True,True,East,5,9,23,11,3,23,17,6,14,25,13,5,0,?,-26,-27,East
23,15,True,True,True,True,East,5,9,24,11,3,24,17,6,15,25,13,4,0,?,-27,-28,East
24,15,True,True,True,True,East,5,9,25,11,3,25,17,6,16,25,13,3,0,?,-28,-29,East
25,15,True,False,True,True,East,5,9,26,11,3,26,17,6,17,25,13,2,0,?,-29,-30,South
25,14,True,False,True,True,South,5,9,25,11,3,25,17,6,16,25,13,1,0,?,-30,169,South
25,13,True,False,False,False,South,5,9,24,11,3,24,17,6,15,7,1,?,0,?,169,168,North
25,14,True,False,True,True,North,5,9,25,11,3,25,17,6,16,7,1,?,0,?,168,167,West
24,14,True,True,False,True,West,5,9,24,11,3,24,17,6,15,7,1,?,0,?,167,166,West
23,14,True,True,True,True,West,5,9,23,11,3,23,17,6,14,7,1,?,0,?,166,165,West
22,14,True,True,True,False,West,5,9,22,11,3,22,17,6,13,7,1,?,0,?,165,164,North
22,15,True,True,True,True,North,5,9,23,11,3,23,17,6,14,7,1,?,0,?,164,163,West
21,15,True,True,False,True,West,5,9,22,11,3,22,17,6,13,7,1,?,0,?,163,162,West
20,15,True,True,True,False,West,5,9,21,11,3,21,17,6,12,7,1,?,0,?,162,161,South
20,14,True,False,True,True,South,5,9,20,11,3,20,17,6,11,7,1,?,0,?,161,160,South
20,13,True,False,True,True,South,5,9,19,11,3,19,17,6,10,7,1,?,0,?,160,159,South
20,12,True,False,True,True,South,5,9,18,11,3,18,17,6,9,7,1,?,0,?,159,158,South
20,11,True,False,True,True,South,5,9,17,11,3,17,17,6,8,7,1,?,0,?,158,157,South
20,10,True,True,False,True,South,5,9,16,11,3,16,17,6,7,7,1,?,0,?,157,156,East
21,10,False,True,False,True,East,5,9,17,11,3,17,17,6,8,7,1,?,0,?,156,155,East
22,10,True,True,False,True,East,5,9,18,11,3,18,17,6,9,7,1,?,0,?,155,154,East
23,10,True,True,True,True,East,5,9,19,11,3,19,17,6,10,7,1,?,0,?,154,153,South
23,9,True,True,True,False,South,5,9,18,11,3,18,17,6,9,7,1,?,0,?,153,152,South
23,8,True,True,True,True,South,5,9,19,11,3,17,17,6,8,7,1,?,0,?,152,151,South
23,7,True,True,True,False,South,5,9,20,11,3,16,17,6,7,7,1,?,0,?,151,150,South
23,6,True,True,True,True,South,5,9,21,11,3,15,17,6,6,7,1,?,0,?,150,149,West
22,6,False,True,False,True,West,5,9,20,11,3,14,17,6,5,7,1,?,0,?,149,148,West
21,6,False,True,False,True,West,5,9,19,11,3,13,17,6,4,7,1,?,0,?,148,147,West
20,6,False,True,True,True,West,5,9,18,11,3,12,17,6,3,7,1,?,0,?,147,146,West
19,6,False,True,True,True,West,5,9,17,11,3,11,17,6,2,7,1,?,0,?,146,145,West
18,6,False,True,True,True,West,5,9,16,11,3,10,17,6,1,7,1,?,0,?,145,344,West
17,6,False,True,True,True,West,5,9,15,11,3,9,5,1,?,7,1,?,0,?,344,343,West
16,6,False,True,False,True,West,5,9,14,11,3,8,5,1,?,7,1,?,0,?,343,342,West
15,6,False,True,False,True,West,5,9,13,11,3,7,5,1,?,7,1,?,0,?,342,341,West
14,6,True,True,True,True,West,5,9,12,11,3,6,5,1,?,7,1,?,0,?,341,340,North
14,7,True,False,True,True,North,5,9,11,11,3,7,5,1,?,7,1,?,0,?,340,339,North
14,8,True,True,True,True,North,5,9,10,11,3,8,5,1,?,7,1,?,0,?,339,338,North
14,9,True,False,True,True,North,5,9,9,11,3,9,5,1,?,7,1,?,0,?,338,337,North
14,10,True,True,True,True,North,5,9,10,11,3,10,5,1,?,7,1,?,0,?,337,336,North
14,11,True,True,True,True,North,5,9,11,11,3,11,5,1,?,7,1,?,0,?,336,335,North
14,12,True,True,True,True,North,5,9,12,11,3,12,5,1,?,7,1,?,0,?,335,334,West
13,12,False,True,True,True,West,5,9,11,11,3,11,5,1,?,7,1,?,0,?,334,333,West
12,12,False,True,False,True,West,5,9,10,11,3,10,5,1,?,7,1,?,0,?,333,332,West
11,12,False,True,True,True,West,5,9,9,11,3,9,5,1,?,7,1,?,0,?,332,331,South
11,11,True,False,True,True,South,5,9,8,11,3,8,5,1,?,7,1,?,0,?,331,330,South
11,10,True,False,True,True,South,5,9,7,11,3,7,5,1,?,7,1,?,0,?,330,329,South
11,9,True,False,True,True,South,5,9,6,11,3,6,5,1,?,7,1,?,0,?,329,328,South
11,8,True,False,True,True,South,5,9,7,11,3,5,5,1,?,7,1,?,0,?,328,327,South
11,7,True,False,True,True,South,5,9,8,11,3,4,5,1,?,7,1,?,0,?,327,326,South
11,6,True,False,True,True,South,5,9,9,11,3,3,5,1,?,7,1,?,0,?,326,325,South
11,5,True,False,True,True,South,5,9,10,11,3,2,5,1,?,7,1,?,0,?,325,324,South
11,4,True,False,True,True,South,5,9,11,11,3,1,5,1,?,7,1,?,0,?,324,323,West
10,4,True,True,True,True,West,5,9,10,11,3,2,5,1,?,7,1,?,0,?,323,322,West
9,4,True,True,True,True,West,5,9,9,11,3,3,5,1,?,7,1,?,0,?,322,321,East
10,4,True,True,True,True,East,5,9,10,11,3,2,5,1,?,7,1,?,0,?,321,320,East
11,4,True,False,True,True,East,5,9,11,11,3,1,5,1,?,7,1,?,0,?,320,519,South
11,3,True,False,False,True,South,5,9,12,3,1,?,5,1,?,7,1,?,0,?,519,518,West
10,3,True,True,False,True,West,5,9,11,3,1,?,5,1,?,7,1,?,0,?,518,517,West
9,3,True,True,False,True,West,5,9,10,3,1,?,5,1,?,7,1,?,0,?,517,516,West
8,3,True,True,False,True,West,5,9,9,3,1,?,5,1,?,7,1,?,0,?,516,515,West
7,3,False,True,False,True,West,5,9,8,3,1,?,5,1,?,7,1,?,0,?,515,514,West
6,3,False,True,False,True,West,5,9,7,3,1,?,5,1,?,7,1,?,0,?,514,513,West
5,3,True,True,False,True,West,5,9,6,3,1,?,5,1,?,7,1,?,0,?,513,512,North
5,4,True,False,True,True,North,5,9,5,3,1,?,5,1,?,7,1,?,0,?,512,511,North
5,5,True,False,True,True,North,5,9,4,3,1,?,5,1,?,7,1,?,0,?,511,510,North
5,6,True,True,True,True,North,5,9,3,3,1,?,5,1,?,7,1,?,0,?,510,509,North
5,7,True,True,True,True,North,5,9,2,3,1,?,5,1,?,7,1,?,0,?,509,508,North
5,8,True,True,True,True,North,5,9,1,3,1,?,5,1,?,7,1,?,0,?,508,0,Stop
8,1,True,True,False,True,Stop,1,1,?,1,5,11,10,5,6,17,1,?,22,3,0,-1,Stop
8,1,True,True,False,True,Stop,1,1,?,1,5,11,10,5,6,17,1,?,22,3,-1,-2,Stop
8,1,True,True,False,True,Stop,1,1,?,1,5,11,10,5,6,17,1,?,22,3,-2,-3,Stop
8,1,True,True,False,True,Stop,1,1,?,1,5,11,10,5,6,17,1,?,22,3,-3,-4,Stop
8,1,True,True,False,True,Stop,1,1,?,1,5,11,10,5,6,17,1,?,22,3,-4,-5,Stop
8,1,True,True,False,True,Stop,1,1,?,1,5,11,10,5,6,17,1,?,22,3,-5,-6,East
9,1,False,True,False,True,East,1,1,?,1,5,12,10,5,5,17,1,?,22,4,-6,-7,West
8,1,True,True,False,True,West,1,1,?,1,5,11,10,5,6,17,1,?,22,3,-7,-8,West
7,1,True,True,False,True,West,1,1,?,1,5,10,10,5,7,17,1,?,22,2,-8,-9,West
6,1,False,True,False,True,West,1,1,?,1,5,9,10,5,8,17,1,?,22,1,-9,-10,East
7,1,True,True,False,True,East,1,1,?,1,5,10,10,5,7,17,1,?,22,2,-10,-11,North
7,2,True,True,True,False,North,1,1,?,1,5,9,10,5,6,17,1,?,22,2,-11,-12,East
8,2,True,False,True,True,East,1,1,?,1,5,10,10,5,5,17,1,?,22,3,-12,-13,North
8,3,False,True,True,True,North,1,1,?,1,5,9,10,5,4,17,1,?,22,4,-13,-14,East
